total_chars_name,total_chars_description,total_chars_username,name_equals_username,total_numbers_name,total_numbers_username,total_emojis_name,total_emojis_username,total_words_description,total_emojis_description,total_numbers_description,total_words_name,followers,friends,age,gen,org
13.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1769.0,1.0,M,N
5.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,2.0,M,N
9.0,26.0,12.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,1.0,1.0,138.0,457.0,0.0,F,N
4.0,55.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1334.0,398.0,1.0,F,N
11.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,22.0,24.0,1.0,M,N
4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,447.0,108.0,0.0,M,N
17.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,127.0,212.0,1.0,F,N
37.0,160.0,15.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,5.0,7.0,1493.0,889.0,3.0,M,N
1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1782.0,0.0,1.0,M,N
15.0,133.0,14.0,0.0,0.0,0.0,0.0,0.0,26.0,6.0,1.0,2.0,2.0,4.0,2.0,U,Y
1.0,12.0,11.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,102.0,0.0,F,N
9.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,M,N
19.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,344.0,1351.0,0.0,M,N
10.0,84.0,10.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,4.0,2.0,1827.0,1676.0,3.0,M,N
18.0,10.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,802.0,4870.0,3.0,M,N
5.0,9.0,10.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,171.0,147.0,0.0,M,N
12.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,174.0,939.0,2.0,M,N
23.0,49.0,10.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,3.0,1.0,7.0,3.0,M,N
20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,97.0,117.0,2.0,F,N
5.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0,98.0,1.0,F,N
17.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,189.0,3.0,M,N
7.0,61.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,67.0,117.0,0.0,F,N
6.0,70.0,11.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,2.0,33.0,98.0,0.0,M,N
16.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,164.0,3.0,M,N
4.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,133.0,561.0,0.0,M,N
15.0,42.0,15.0,1.0,2.0,2.0,0.0,0.0,9.0,1.0,1.0,1.0,45.0,286.0,0.0,M,N
7.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,141.0,0.0,F,N
10.0,82.0,8.0,0.0,0.0,0.0,1.0,0.0,12.0,2.0,0.0,3.0,229.0,120.0,2.0,F,N
12.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,21.0,0.0,M,N
11.0,0.0,15.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,33.0,0.0,U,Y
16.0,95.0,11.0,0.0,0.0,3.0,0.0,0.0,17.0,0.0,2.0,1.0,154.0,3493.0,1.0,M,N
8.0,17.0,9.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,137.0,2546.0,1.0,F,N
5.0,33.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,272.0,1124.0,0.0,M,N
15.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,522.0,1657.0,1.0,F,N
12.0,157.0,12.0,1.0,0.0,0.0,0.0,0.0,18.0,3.0,4.0,1.0,92495.0,1606.0,3.0,U,Y
3.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,14.0,13.0,0.0,M,N
6.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,24.0,87.0,1.0,F,N
5.0,26.0,13.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,1057.0,204.0,0.0,M,N
2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,103.0,108.0,1.0,F,N
5.0,160.0,12.0,0.0,0.0,8.0,0.0,0.0,18.0,0.0,1.0,1.0,147.0,220.0,0.0,M,N
5.0,107.0,10.0,0.0,0.0,1.0,0.0,0.0,21.0,1.0,2.0,1.0,10204.0,23.0,1.0,F,N
20.0,148.0,11.0,0.0,0.0,0.0,0.0,0.0,27.0,5.0,0.0,5.0,345.0,827.0,0.0,M,N
8.0,71.0,7.0,0.0,0.0,3.0,2.0,0.0,17.0,8.0,2.0,3.0,2344.0,3385.0,1.0,M,N
11.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,18.0,2.0,M,N
14.0,49.0,7.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,374.0,680.0,0.0,M,N
3.0,98.0,9.0,0.0,0.0,5.0,0.0,0.0,16.0,0.0,0.0,1.0,2.0,54.0,0.0,F,N
7.0,9.0,8.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,199.0,413.0,3.0,M,N
15.0,61.0,15.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,89.0,142.0,1.0,M,N
4.0,36.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,22.0,34.0,0.0,M,N
5.0,70.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,23.0,29.0,0.0,F,N
9.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,95.0,378.0,3.0,M,N
3.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2164.0,340.0,0.0,U,Y
3.0,105.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,59.0,29.0,0.0,M,N
6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,41.0,1.0,M,N
11.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,93.0,0.0,F,N
7.0,109.0,11.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,1.0,130.0,558.0,3.0,U,Y
13.0,4.0,13.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1034.0,3406.0,1.0,F,N
28.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,52.0,79.0,0.0,F,N
5.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,128.0,3874.0,3.0,M,N
