total_chars_name,total_chars_description,total_chars_username,name_equals_username,total_numbers_name,total_numbers_username,total_emojis_name,total_emojis_username,total_words_description,total_emojis_description,total_numbers_description,total_words_name,followers,friends,age,gen,org,bot_score
11.0,0.0,14.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,186.0,1.0,M,N,4.794827586206897
30.0,126.0,13.0,0.0,0.0,0.0,2.0,0.0,25.0,5.0,0.0,6.0,106.0,190.0,1.0,M,N,0.4917794831931343
7.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,551.0,487.0,1.0,M,N,0.1807487588069484
12.0,86.0,10.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,2.0,71.0,33.0,1.0,F,N,2.950994362735911
11.0,79.0,13.0,0.0,3.0,3.0,0.0,0.0,14.0,0.0,2.0,1.0,0.0,6.0,0.0,F,N,4.6724028304461775
11.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,210.0,2589.0,2.0,M,N,1.0365376755379834
13.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1769.0,1.0,M,N,2.63693959238436
5.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,2.0,M,N,4.836970054804738
9.0,26.0,12.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,1.0,1.0,138.0,457.0,0.0,F,N,0.8815329875392519
4.0,55.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1334.0,398.0,1.0,F,N,0.638596067641572
11.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,22.0,24.0,1.0,M,N,3.441534722183192
4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,447.0,108.0,0.0,M,N,1.9108039717469636
17.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,127.0,212.0,1.0,F,N,0.9664606752313482
37.0,160.0,15.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,5.0,7.0,1493.0,889.0,3.0,M,N,0.5449300974297228
1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1782.0,0.0,1.0,M,N,2.856439393939394
15.0,133.0,14.0,0.0,0.0,0.0,0.0,0.0,26.0,6.0,1.0,2.0,2.0,4.0,2.0,U,Y,4.798075887669768
1.0,12.0,11.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,102.0,0.0,F,N,2.9867832676264183
9.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,M,N,4.953108181938548
19.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,344.0,1351.0,0.0,M,N,0.2460012372649472
10.0,84.0,10.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,4.0,2.0,1827.0,1676.0,3.0,M,N,0.0408311081539281
18.0,10.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,802.0,4870.0,3.0,M,N,1.5569206001776292
5.0,9.0,10.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,171.0,147.0,0.0,M,N,1.993549706684277
12.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,174.0,939.0,2.0,M,N,3.4521657049193424
23.0,49.0,10.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,3.0,1.0,7.0,3.0,M,N,4.65188856459198
20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,97.0,117.0,2.0,F,N,3.2197487922705315
5.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0,98.0,1.0,F,N,2.7890392391034835
17.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,189.0,3.0,M,N,4.338571008515892
7.0,61.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,67.0,117.0,0.0,F,N,2.3897318641802165
6.0,70.0,11.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,2.0,33.0,98.0,0.0,M,N,4.033687193560192
